"country","pre_rmspe","post_rmspe","ratio"
"Austria",710.547808303788,238.406024818401,0.335524256119403
"UK",749.061407766708,252.176528430853,0.336656682370949
"Portugal",1999.53612455493,922.369183191743,0.461291582514946
"Switzerland",2586.003576247,1614.02569088458,0.624139001859763
"Belgium",581.616990633573,390.729829637878,0.67179920107259
"France",1180.93503737867,921.816435171636,0.780581832187652
"Denmark",425.733614525835,354.835918254405,0.833469348314455
"New Zealand",1710.74875709615,1436.65177692752,0.839779524005683
"Japan",3460.28322889515,3017.97427497537,0.872175505685119
"Spain",1137.80510740373,1085.14040065025,0.953713771883434
"Netherlands",662.384671741798,826.843377602337,1.24828277717852
"USA",2685.63118143151,4309.84017052867,1.60477737983047
"Norway",847.739424368367,2015.94551610547,2.37802496634801
"Italy",289.621603945714,925.643695280841,3.19604505558343
"Greece",670.277238900258,2477.34892279136,3.69600633740153
"Australia",306.937150934456,1270.16194303176,4.13818248838503
"West Germany",224.78097879925,976.771092287904,4.34543482062266
