"country","pre_rmspe","post_rmspe","ratio"
"Portugal",613.283853041655,283.561945168222,0.462366559565953
"France",206.774700177678,129.778619028836,0.627632969204255
"Italy",150.496650508277,103.750366122625,0.689386546293396
"Austria",361.393279642545,259.014285641999,0.716710299367466
"Spain",294.570112570804,239.157291537933,0.811885800126611
"Japan",1002.84319858623,888.752291417888,0.886232556266843
"West Germany",145.007526437788,128.5950459138,0.886816354108142
"New Zealand",533.505470541608,474.534045164091,0.889464253632395
"Belgium",151.624573168807,140.323594499793,0.925467366978623
"Denmark",191.321387741908,189.228494137686,0.989060848716792
"UK",245.156204541303,267.464872042487,1.09099776831234
"Netherlands",176.310404993756,268.07094054689,1.52044878211461
"Switzerland",548.231129907105,835.044808227332,1.52316197069806
"Norway",337.210536341627,735.201802948271,2.18024564393634
"USA",353.303948723633,801.710177306887,2.26917978189373
"Greece",238.297204018748,920.06628208405,3.86100326217702
"Australia",120.30506661178,480.838542344853,3.99682703220224
