"country","pre_rmspe","post_rmspe","ratio"
"Portugal",2247.57858516554,1109.13870470435,0.493481612622973
"Austria",891.916941221759,500.651683778981,0.561320971315089
"France",1028.78476785823,623.036222444035,0.605604050438172
"UK",773.125023436388,476.683801028634,0.616567549333572
"Japan",2974.01758074089,2270.44793354131,0.763427878921849
"Switzerland",2552.98617412782,2026.76794363674,0.793881284660366
"Belgium",559.707396989714,508.066295320478,0.907735538342035
"Spain",1284.64481153814,1238.41121849694,0.964010602287922
"New Zealand",1602.05201982052,1786.44243325947,1.11509639584588
"Denmark",315.575998021604,396.815466679359,1.25743234329309
"Netherlands",617.707345847449,949.964628973712,1.53788786123375
"USA",1187.42799074936,2696.02271199546,2.27047259539003
"Norway",1273.49896332932,3002.63859371164,2.35778644519805
"Italy",267.526883217465,865.409340524482,3.23485000877842
"Greece",729.555038200548,2667.95489717202,3.6569617883149
"West Germany",249.8617770535,966.255385635452,3.86715966335483
"Australia",342.825926863735,1514.59005376598,4.41795656361776
