"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",87.9,87.9,87.9,86.2,87.7,82.5,8021.1
"Trade openness",56.8,56.8,56.4,54.8,58.1,74.6,31.9
"Inflation rate",2.6,3.5,3.5,3.7,3.9,3.5,7.4
"Industry share",34.5,34.4,34.7,34.7,34,35.5,34.2
"Schooling",55.5,55.2,57.2,58.5,60.7,60.9,44.1
"Investment rate",27,27.1,27.5,26.5,25.4,26.6,25.9
