"","Treated","Synthetic","Rest of OECD Sample"
"GDP per-capita",87.9,87.9,8021.1
"Trade openness",56.8,56.8,31.9
"Inflation rate",2.6,3.5,7.4
"Industry share",34.5,34.4,34.2
"Schooling",55.5,55.2,44.1
"Investment rate",27,27.1,25.9
