"country","pre_rmspe","post_rmspe","ratio"
"Belgium",552.22788647793,187.246904524804,0.339075423588352
"France",421.952978598886,143.508316044475,0.340104995871816
"Italy",301.934976886769,130.156682034444,0.431075204921539
"UK",564.069556673069,274.80767893166,0.487187574086607
"Portugal",1220.98529209406,640.232048731868,0.52435688855337
"Austria",631.401639119152,494.105689267195,0.782553700615198
"Switzerland",1365.65173603908,1073.12747817771,0.785798787390842
"New Zealand",1046.30193796609,896.692468269122,0.857011189343875
"Denmark",176.318831017588,159.628747035847,0.905341455104837
"Spain",657.660664867394,624.939108604032,0.950245532367427
"Netherlands",383.216213795449,442.992055751549,1.15598463688179
"Japan",880.255912957879,1075.6640276983,1.2219901188551
"USA",594.640203503804,1360.39527180698,2.28776201775647
"Norway",393.699204920558,904.248308687807,2.29679993605847
"West Germany",189.127534054379,504.741917680895,2.66879130108981
"Greece",435.001230747507,1643.27010735338,3.77762174265481
"Australia",180.475765469521,771.018098793919,4.27214200636889
