"","unit.numbers","w.weights","unit.names","regression.w"
"15",20,0,"Australia",0.12
"3",3,0.42,"Austria",0.26
"4",4,0,"Belgium",0
"5",5,0,"Denmark",0.08
"6",6,0,"France",0.04
"12",16,0,"Greece",-0.09
"7",8,0,"Italy",-0.05
"11",14,0.16,"Japan",0.19
"8",9,0.09,"Netherlands",0.14
"16",21,0,"New Zealand",0.12
"9",10,0,"Norway",0.04
"13",18,0,"Portugal",-0.08
"14",19,0,"Spain",-0.01
"10",12,0.11,"Switzerland",0.05
"2",2,0,"UK",0.06
"1",1,0.22,"USA",0.13
