"","Treated","Synthetic","Rest of OECD Sample"
"GDP per-capita",20540,20534.3,8021.1
"Trade openness",56.8,57.2,31.9
"Inflation rate",2.6,3.4,7.4
"Industry share",34.5,34.7,34.2
"Schooling",55.5,54.6,44.1
"Investment rate",27,27.5,25.9
