"country","pre_rmspe","post_rmspe","ratio"
"Portugal",612.866824021694,296.158752469633,0.483235086092945
"Austria",342.156106224192,230.528406709026,0.673752133939636
"France",238.437390574707,174.547137840919,0.732045999246203
"New Zealand",519.028061216046,381.024080984772,0.734110753264591
"Italy",142.569886299679,105.037704961758,0.736745379322047
"Denmark",134.305558689159,101.892185774986,0.758659483415785
"Spain",276.092768184244,218.4740170501,0.791306554267682
"UK",218.745401834864,175.425223454277,0.80196073600994
"Japan",919.284693982512,792.500806893266,0.86208419663772
"Belgium",179.70583704525,195.34976355943,1.08705296818066
"Netherlands",170.575977555945,260.193580109146,1.52538231840886
"Switzerland",512.919907236622,842.789650731371,1.64312135060606
"West Germany",115.33300566638,192.773939124504,1.67145508790549
"Norway",321.264389009374,702.49897025565,2.18666928015839
"USA",314.721105854355,804.030370533922,2.55473927733975
"Greece",257.360579759578,946.871817562557,3.67916414567883
"Australia",113.583119499602,458.559924817402,4.03721897089654
