"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",19020.2,18909.6,18516.4,18359.5,17671.2,18071.6,8021.1
"Trade openness",56.8,57.2,56.5,55.1,61.1,74.6,31.9
"Inflation rate",2.6,3.4,3.4,3.4,3.1,3.5,7.4
"Industry share",34.5,34.8,34.9,35.5,36.6,35.5,34.2
"Schooling",55.5,55,55.1,56.7,55.6,60.9,44.1
"Investment rate",27,27.3,26.8,27.7,28.8,26.6,25.9
