"country","pre_rmspe","post_rmspe","ratio"
"Austria",919.781767782214,391.826312155284,0.425999216205448
"Portugal",2519.13570487699,1187.62902751096,0.471443052953336
"Switzerland",3067.5229707452,2146.14970529093,0.699636066545758
"France",1468.95323588624,1048.31444309218,0.713647254032373
"Italy",521.667177639626,393.21102828179,0.753758421338566
"Belgium",685.782860200586,543.668272619574,0.7927702836734
"Denmark",546.681403708678,450.113490787846,0.823356140769164
"Japan",4371.94522805604,3854.5765397758,0.881661672026416
"Spain",1462.30724254004,1402.89541137573,0.95937117082104
"New Zealand",1789.72560096662,1851.44790670738,1.03448702175765
"UK",2087.14836004724,2243.45047722884,1.07488788059995
"Netherlands",711.948989721533,1149.38878578303,1.61442575574494
"Australia",637.649452046662,1230.4736168963,1.92970230421567
"USA",1423.73816495489,3149.7988112393,2.21234415763456
"Norway",1326.70636089566,3333.8658106857,2.51288899258387
"West Germany",394.134050203243,1292.08561629213,3.27828974843924
"Greece",830.713223048125,3051.65812756627,3.67353984852783
