"country","pre_rmspe","post_rmspe","ratio"
"Belgium",1350.93530744778,312.18354905012,0.231086971618134
"UK",1236.56144056778,562.831759192665,0.455158749681079
"Austria",1468.24231488266,729.266365413013,0.496693466753339
"Switzerland",5044.26223029518,2648.31458658248,0.52501524815206
"Portugal",3413.46704982436,1870.98486596082,0.548118625037584
"France",1757.61357057816,1153.33184924251,0.656191934648711
"New Zealand",2847.17615581011,2089.72686019529,0.733964723584412
"Japan",5091.54509988671,4250.04284579791,0.834725562166283
"Italy",596.166034043529,548.775090651913,0.920507139478938
"Spain",504.472034516,536.373670520947,1.06323766992466
"Denmark",441.080789926709,539.836354510021,1.22389450377044
"USA",3670.10915847502,5877.00113583378,1.60131507867078
"Netherlands",962.449993254408,1570.34220659918,1.63160914084404
"Norway",3508.32771942567,7773.82518425166,2.21582070033191
"Australia",572.37516901257,1596.75021155201,2.78969161836044
"Greece",1063.04116592454,3649.32840806058,3.43291353621918
"West Germany",497.564482452691,1846.37659228075,3.71082876168981
