"country","pre_rmspe","post_rmspe","ratio"
"UK",706.703417241957,258.122792611557,0.365249107778379
"Austria",775.537264773733,385.861790895426,0.497541263872089
"Portugal",1883.21752053199,967.426248441786,0.513709243831005
"France",532.050069130549,280.531613202246,0.527265438872468
"Japan",1504.53420215522,1088.74505546739,0.723642609059855
"New Zealand",1440.73559419524,1070.11518833231,0.742756125859473
"Switzerland",2159.09269862213,1646.7891751549,0.762722775268442
"Denmark",293.304190218636,268.371144848428,0.914992536071093
"Spain",1074.41996693147,1051.32752844041,0.978507065019459
"Belgium",801.830137523095,921.010026775575,1.14863483383231
"Italy",242.419811099255,290.58002167817,1.19866450006925
"Netherlands",530.552680759425,827.050619400611,1.55884731034962
"USA",953.345097375893,2123.5555066981,2.22747828938675
"Norway",653.921877096651,1545.71588230334,2.36376230317629
"Greece",617.414517302663,2350.75621651978,3.80741973283957
"West Germany",230.762472024534,892.215678766207,3.86638117948117
"Australia",306.045900502877,1305.76678307701,4.26657171663286
