"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",13961.3,13940.5,13942,13901.8,13923.9,13100.9,8021.1
"Trade openness",56.8,57.3,56.8,60.9,58.6,74.6,31.9
"Inflation rate",2.6,3.4,3.4,3.1,3.9,3.5,7.4
"Industry share",34.5,34.7,35.2,35.6,34.1,35.5,34.2
"Schooling",55.5,54.6,55.6,54.2,60.7,60.9,44.1
"Investment rate",27,27.6,28.5,29.8,25.4,26.6,25.9
