"","unit.numbers","w.weights","unit.names","regression.w"
"15",20,0,"Australia",0.11
"3",3,0.21,"Austria",0.23
"4",4,0,"Belgium",0.01
"5",5,0,"Denmark",0.05
"6",6,0,"France",0.04
"12",16,0,"Greece",-0.07
"7",8,0,"Italy",-0.02
"11",14,0.19,"Japan",0.17
"8",9,0.13,"Netherlands",0.13
"16",21,0,"New Zealand",0.09
"9",10,0,"Norway",0.05
"13",18,0,"Portugal",-0.09
"14",19,0,"Spain",-0.01
"10",12,0.26,"Switzerland",0.09
"2",2,0,"UK",0.06
"1",1,0.2,"USA",0.16
