"country","pre_rmspe","post_rmspe","ratio"
"Portugal",2567.30750427294,563.114137342107,0.219340354205672
"UK",1297.59901924813,467.622011983808,0.360374819221705
"Austria",1057.57497016375,570.849174826077,0.539771827937352
"Italy",644.063365081609,351.984730778436,0.546506368568
"Switzerland",3460.94689330079,2064.75511730283,0.596586766846812
"Denmark",546.035243695875,442.126432444657,0.809703105338211
"France",698.010400698775,570.886555301083,0.817876860759628
"Japan",4436.61769517106,3801.28226455452,0.856797345575198
"Spain",1385.87056895928,1256.78308684654,0.906854590173103
"Belgium",857.144707616879,779.587030860201,0.909516239128032
"New Zealand",1913.4059120801,2070.68831385382,1.08220022776178
"Netherlands",906.212199213965,997.232229339533,1.10044008478866
"USA",2981.62653070649,5357.9883066991,1.79700182149558
"Norway",1397.37694764069,3491.72169975201,2.49876864338387
"Australia",516.824781431034,1431.51022027186,2.76981729921726
"West Germany",363.470258194094,1281.97764675435,3.52704964946477
"Greece",878.801323183115,3402.72378830456,3.87200576346372
