"country","pre_rmspe","post_rmspe","ratio"
"Austria",335.019475175031,170.809150006543,0.50984841975919
"Portugal",712.815609401442,375.690807975198,0.527051881328285
"France",331.094910556104,176.709843894094,0.533713561459746
"Italy",162.829593711886,119.485768473072,0.733808675371951
"New Zealand",623.451178657271,521.559872999053,0.836568910050566
"Japan",1045.42818603813,894.562979179777,0.855690511435232
"UK",264.415900679012,230.550217279848,0.871922666858545
"Spain",347.119203097311,304.938773574873,0.878484309868002
"Netherlands",231.927839032518,237.314221895947,1.02322439119814
"Switzerland",702.715793280877,756.11390563842,1.07598820585522
"Belgium",369.896700683922,486.694978872975,1.31575917809782
"Denmark",218.324018529351,385.570096557907,1.76604525308365
"West Germany",117.648123610084,214.164850590263,1.82038475428695
"Norway",354.313393807398,810.527881163947,2.2876015847274
"USA",309.328808391302,968.989510135838,3.13255501540634
"Greece",236.721253718763,910.949221581429,3.84819363395095
"Australia",105.265231234743,475.023839575675,4.51263759176443
