"country","pre_rmspe","post_rmspe","ratio"
"France",378.89559719986,224.42659265157,0.592317763283982
"Austria",521.48915832467,314.233159955986,0.602568921980061
"Portugal",923.58577606161,625.747358404756,0.677519483975914
"Italy",185.791223680225,132.732189863621,0.714415822418359
"Spain",336.25168794028,274.316845199885,0.815808083760772
"New Zealand",600.96465743289,526.311635427124,0.875778016090568
"Switzerland",830.691396877333,749.377637521534,0.902113155786292
"Japan",1282.42183394045,1158.55054199208,0.903408310222113
"Denmark",127.752128312225,126.799531663628,0.992543398993174
"UK",298.999045953073,319.289066542591,1.06785981716043
"Belgium",225.445170764729,273.752871737332,1.21427693841806
"West Germany",130.7053497679,168.866717975253,1.2919648528168
"USA",778.677216108026,1181.06535144769,1.51675858367973
"Netherlands",239.114722926308,399.671799521308,1.67146462012079
"Norway",389.146397355929,897.449007217937,2.30619893519686
"Greece",253.848130732433,899.089588495458,3.54184049298018
"Australia",162.768115082357,652.467735758217,4.00857216677899
