"country","pre_rmspe","post_rmspe","ratio"
"Belgium",370.852749086558,83.2309052914214,0.22443114011269
"France",347.821105838809,134.101321625736,0.385546820979525
"UK",327.303712401119,152.096165213875,0.464694286838633
"Portugal",821.518302036987,411.683280965572,0.501124904880131
"Japan",744.842173042182,374.933801141434,0.503373485969625
"Australia",457.396686992073,268.750209026571,0.587564835228525
"Austria",451.744489385279,301.987309812643,0.668491408104565
"Switzerland",982.2968305615,681.194098254081,0.693470728053451
"New Zealand",733.037221358134,597.929234178259,0.815687412257792
"Italy",174.459555413093,144.254668655365,0.826865965087398
"Spain",441.7662134254,407.911066541677,0.923364110122378
"Denmark",119.729073476417,140.362911827491,1.17233774347329
"Netherlands",235.288587662566,329.327736602269,1.39967577634733
"Norway",222.445782654909,607.293230802302,2.73007302522982
"USA",335.307361381336,1010.39233262114,3.01333179342893
"West Germany",92.4739828889908,325.635459144968,3.52137378505555
"Greece",267.075433548596,1044.20357268807,3.90977020542054
