"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",20556.4,20554.2,20554.4,20535.3,20772.5,19820.1,8021.1
"Trade openness",56.8,56.8,56.8,57.7,58.6,69.6,31.9
"Inflation rate",2.6,3.4,3.3,3,3.9,5.9,7.4
"Industry share",34.5,35.3,35.4,36,34.1,27.2,34.2
"Schooling",55.5,55.2,55.3,53.1,60.7,43,44.1
"Investment rate",27,28.5,28.7,30.2,25.4,22.2,25.9
