"","Treated","Synthetic","Rest of OECD Sample"
"GDP per-capita",11133.6,11118.2,8021.1
"Trade openness",56.8,57.2,31.9
"Inflation rate",2.6,3.2,7.4
"Industry share",34.5,35.4,34.2
"Schooling",55.5,54,44.1
"Investment rate",27,29.5,25.9
