"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",88.3,90.9,91,90.5,90.9,93.4,8021.1
"Trade openness",56.8,63.2,63.3,64.8,66.4,74.6,31.9
"Inflation rate",2.6,4.2,4.2,4.3,4.3,3.5,7.4
"Industry share",34.5,34.7,34.7,34.7,34.6,35.5,34.2
"Schooling",55.5,53.4,53.3,53.3,53.9,60.9,44.1
"Investment rate",27,27.1,27.1,27.1,26.8,26.6,25.9
