"","Treated","Synthetic","Rest of OECD Sample"
"GDP per-capita",88.3,90.9,8021.1
"Trade openness",56.8,63.2,31.9
"Inflation rate",2.6,4.2,7.4
"Industry share",34.5,34.7,34.2
"Schooling",55.5,53.4,44.1
"Investment rate",27,27.1,25.9
