"country","pre_rmspe","post_rmspe","ratio"
"Portugal",2965.74002997314,678.316165664402,0.22871733827275
"UK",1189.25953838691,443.015892595057,0.372514054582193
"France",1458.38687941513,758.174601895633,0.519872067280042
"Denmark",512.818566987628,387.700063585807,0.756017992607433
"Italy",596.989524117152,501.424397408712,0.839921601891147
"Austria",1257.65626752876,1075.01897783186,0.854779644953568
"Netherlands",978.237845715402,836.882588458019,0.855500113927807
"Spain",1573.71309200757,1373.56086342786,0.872815299309497
"Switzerland",4454.40511240169,4087.44838202485,0.917619363053626
"New Zealand",1918.28581258891,2760.50756995743,1.43904915098749
"Norway",3477.77476128884,5476.54975198724,1.57472813160496
"Japan",2157.3937026369,4018.37143645877,1.86260460088822
"Belgium",553.791662331619,1073.66567169973,1.93875376739927
"USA",1472.14332263378,3500.64480409491,2.37792390881615
"West Germany",564.476214232819,1373.78264843315,2.43372991420065
"Greece",969.644020603471,3606.97116166801,3.71989213054
"Australia",454.027773694687,1703.37406926781,3.75169575069486
