"country","pre_rmspe","post_rmspe","ratio"
"UK",954.107508464853,275.103114672399,0.288335551530285
"Austria",909.979100146088,266.414003926207,0.292769365673824
"Portugal",2531.98011941153,1124.51736193566,0.444125668015518
"Switzerland",3130.08229637743,2200.23804616042,0.702932970390856
"Denmark",538.05106184662,439.712716442914,0.817232317939855
"Japan",4147.32914024596,3458.86403797796,0.833997958930463
"France",893.635866429988,763.150938354102,0.853984231186732
"Italy",513.261710618109,481.74365716728,0.938592626726679
"Spain",1521.87804339313,1472.97807537723,0.967868668433588
"New Zealand",1934.51362587058,1884.54006547586,0.974167377408762
"Netherlands",869.806168679903,943.194281450077,1.0843729504489
"Belgium",1315.31394358849,1737.63915127309,1.32108319823053
"Australia",904.665310602093,1290.54911587041,1.42654869236834
"USA",3476.94769079517,5557.74337998425,1.59845470056905
"Norway",1312.33396736526,3470.15073015495,2.64425886736886
"West Germany",365.807916349525,1324.58768803509,3.62099240840229
"Greece",844.035181972803,3115.43808879964,3.6911234926461
