"country","pre_rmspe","post_rmspe","ratio"
"UK",332.341048691547,128.411912596524,0.386385952328465
"France",228.593918500682,96.3232070473108,0.421372570535044
"Portugal",845.498456071473,403.363629404809,0.477071988137033
"Australia",542.078460107748,265.205398114622,0.489238030343259
"New Zealand",800.060497897666,484.760591547722,0.605904919467386
"Austria",482.905489200794,323.006559164335,0.668881523171148
"Italy",192.610590637963,132.955433990037,0.690281014920642
"Switzerland",1015.67419540236,731.329492060639,0.720043391248036
"Spain",409.76275246942,319.91897667256,0.780741965306951
"Denmark",125.606291830294,136.303130166741,1.08516164421843
"Belgium",300.483878173979,332.352273391771,1.10605692196019
"Japan",629.07878219847,801.820248286302,1.27459432900303
"Netherlands",246.137192304254,359.079355715906,1.45885858351729
"West Germany",156.896718025631,333.918540343213,2.12826975952845
"Norway",256.916540275903,610.280814666341,2.37540492336912
"USA",355.339182759076,892.144389184532,2.51068396751905
"Greece",281.126374269845,1064.63687894791,3.78704019398052
