"country","pre_rmspe","post_rmspe","ratio"
"UK",738.279689012719,234.806289286037,0.318045170117083
"Austria",701.399627827315,234.923020246329,0.334934623467133
"Portugal",2022.54519656185,1024.40902725073,0.506494998970671
"Japan",2090.0783158392,1343.15244380894,0.642632591147495
"Italy",434.974130224387,322.562559954852,0.741567227891126
"Switzerland",2340.91120196673,1760.43002394836,0.752027681558069
"Denmark",396.632088601889,310.309823198006,0.782361871657521
"Belgium",554.034169904696,447.945748228213,0.808516464436242
"New Zealand",1521.46997746474,1270.12012494775,0.834798020177946
"Spain",1081.04881954834,1020.08292062134,0.943604860553404
"Netherlands",666.582780052432,763.018739374223,1.14467214306707
"France",1368.76219710456,1746.45995007151,1.27594110486535
"USA",1087.81315484025,2477.01353233149,2.27705789483235
"Norway",811.959923874262,1959.76798426411,2.41362649391991
"Greece",651.034685322121,2398.69787717023,3.68443944884963
"West Germany",230.257770566527,853.098584568461,3.70497196454867
"Australia",298.443186652416,1229.84971373915,4.12088386916838
