"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",77.2,77.2,77.2,75.5,76.1,72.4,8021.1
"Trade openness",56.8,56.9,55.9,53,61.6,74.6,31.9
"Inflation rate",2.6,3.5,3.6,3.6,3.8,3.5,7.4
"Industry share",34.5,34.4,34.6,34.9,34.3,35.5,34.2
"Schooling",55.5,55.2,57.5,57.7,60.7,60.9,44.1
"Investment rate",27,27,27.2,26.8,25.6,26.6,25.9
