"year","wdi_1960","wdi_1961","wdi_1962","wdi_1963","wdi_1964","wdi_1965","wdi_1966","wdi_1967","wdi_1968","wdi_1969","wdi_1970","wdi_1971","wdi_1972","wdi_1973","wdi_1974","wdi_1975","wdi_1976","wdi_1977","wdi_1978","wdi_1979","wdi_1980","wdi_1981","wdi_1982","wdi_1983","wdi_1984","wdi_1985","wdi_1986","wdi_1987","wdi_1988","wdi_1989","wdi_1990","wdi_1991","wdi_1992","wdi_1993","wdi_1994","wdi_1995","wdi_1996","wdi_1997","wdi_1998","wdi_1999","wdi_2000","wdi_2001","wdi_2002","wdi_2003"
1989,-0.417764550157479,-1.15234406479105,-0.894062598049984,0.430028929944087,-0.925760117284383,0.26868697882041,-1.07566293433333,-0.517705622478011,-0.497386303554995,-0.233284008805872,-0.957504490190709,-1.72746290114914,-1.19339422725233,-0.923475047445982,-1.62967265265897,-0.651717120496642,-1.79664109173429,-2.02114726378827,-1.20661052223105,-1.16261671739866,-1.36571445208883,-1.24506492317119,-1.1658145405569,-1.3490938376014,-1.30978986394924,-1.23357720141886,-0.850774326106097,0.251234466347619,-1.25675641405604,-0.974966329573898,-0.528241171929344,-1.44991034598266,-0.739722199698821,-1.27385522523739,-1.29981607741762,-1.16053103049518,-1.27339194923351,-1.28551308348461,-1.32320404458697,-1.2785210254084,-1.33393489061072,-1.40589013632233,-1.45203682016846,-1.35692278092373
1990,0.0879693627161247,-0.707187787258521,-0.418491415081572,0.92427892701302,-0.598537341505375,0.530697150661653,-0.788461761678383,0.0170548849306356,0.00105555836976037,0.104014077409385,-0.608038194395698,-1.46029353558321,-0.894908551051314,-0.60249215494198,-1.48188523918092,-0.472159395814021,-1.57638131199778,-2.05319162140374,-0.979533418191836,-1.21190002486075,-1.20208231444786,-1.00574228684905,-0.912657622154887,-1.11117295124299,-1.07438759406644,-0.928311234622002,-0.520863614584505,0.543183712164849,-0.954988986726485,-0.637556511015121,-0.178509278609205,-1.32363316037174,-0.468898266551765,-1.04401873443272,-1.27064062724701,-0.905131323899967,-0.983796756125336,-1.23191562665895,-1.43511439229026,-1.13823910500632,-1.31561044712398,-1.23574170235994,-1.18815121082461,-1.17897871193961
1991,3.34770866944542,2.85180507103028,3.09504686702345,4.15659300935585,3.01550543808685,4.0034177316113,2.96409911990768,3.55565005372459,3.57453244443267,3.55905119921476,2.42206743970217,1.7226848978109,2.12139676200102,2.3187384651924,1.44181158717868,2.22384960643245,1.4297174222977,0.851016484657213,1.79676129981407,1.4015918766553,1.5491136409244,1.7046027217552,1.74492120353145,1.66685160945673,1.75021894362571,1.85523165428507,2.2381415285823,3.16427325172995,1.95883301115279,2.20336553939676,2.6745884020113,1.37526822194076,2.06383831775411,1.47785952758329,1.00850107894499,1.66523688186256,1.68452271923237,1.14266115803742,0.9467091384033,1.39731767239505,0.929752378573916,0.845626458714462,1.18298293634486,1.21918435059856
1995,-1.86871910736653,-1.55892660760588,-1.50351780155779,-1.14313848707461,-0.742335100742233,0.24082324794292,-0.33210990188036,-1.18346710240815,-0.951999048198932,-0.575590849750466,-2.56988794810317,-2.89634212937306,-2.71643519072261,-2.75404632819476,-3.0521522107169,-2.69984556012764,-3.32563551617425,-3.03225860660675,-3.16841074980321,-2.56435158256192,-3.22644150851126,-3.44596859483377,-3.57073901628105,-3.37521899553264,-3.18187016069815,-3.43312196724449,-3.23068939768053,-2.55367692631857,-3.07743928275803,-3.11544300088063,-2.71128231091435,-3.34779699695243,-3.64304981941799,-3.94639784955692,-3.98467047986607,-3.64146048025498,-3.75997508144976,-3.74770955317672,-3.24340878433234,-3.64542294454656,-4.08798347663466,-5.31102503064277,-4.80356350493646,-4.30147976197866
2000,-4.99802294226413,-3.96704967100311,-4.11926597454316,-4.30160267012855,-2.43574101880029,-1.32730128553652,-1.57346558150311,-4.01027813008753,-3.55626480307044,-2.6033688838262,-5.2702417884986,-5.09688905382112,-5.1844521886328,-5.44908456198878,-4.94746833208371,-5.04206753629089,-5.54251339103034,-4.06998542720824,-5.62121215510246,-3.75049850532842,-5.41186008994376,-6.07922636919794,-6.35756986442765,-5.93472869083639,-5.6602868147139,-6.31223615300821,-6.28077135847462,-5.70900608067458,-5.76437323370882,-6.07278544032237,-5.72670247377861,-5.47336231947873,-6.76703446646072,-6.74816100045671,-6.10155039575249,-6.3049606325997,-6.70781434167493,-5.80537050285243,-4.54114415031506,-6.00434258603336,-6.18135595194635,-8.50882478904706,-8.08807607552548,-7.11817470662373
2003,-6.49883798451488,-4.99576151122015,-5.28568954668128,-5.84580078422039,-3.27136616534037,-2.33298301494806,-2.18001898580623,-5.3148775626154,-4.77006181565403,-3.68562349269525,-6.72971797798792,-6.03362712786524,-6.53986372636309,-6.98059194215951,-6.0620314167635,-6.62133050829179,-6.58761630208446,-4.81551212414603,-7.1324360415865,-5.14823831803383,-6.82728429256325,-7.66136360263542,-8.01013282634522,-7.42515649010919,-7.11418694231464,-7.91381042409166,-7.95360464383691,-7.47390446781508,-7.23049414435264,-7.68491507052914,-7.3619098192499,-6.88316658058856,-8.54554516567367,-8.51460507064637,-7.87725318893859,-8.140906133534,-8.38707934547201,-7.53754313017178,-6.05101555327187,-7.63552612520345,-7.96773806785786,-10.4748160221147,-9.92259442196912,-8.87821778637549
