"country","pre_rmspe","post_rmspe","ratio"
"Portugal",716.451997667441,373.496704896348,0.521314346407498
"Austria",360.135557917282,213.7240524863,0.593454458433091
"Italy",156.370818599041,105.552374064514,0.675013247421609
"Spain",258.310639968146,180.085983208229,0.697168274719293
"France",159.156764526937,112.478499356578,0.70671516658999
"New Zealand",546.440185970707,401.88823782979,0.735466109828412
"Japan",739.987406985687,571.209389698574,0.771917716850582
"Denmark",133.2010852456,115.631899778543,0.868100282856839
"Netherlands",195.738121261858,175.624284455092,0.897241085808431
"Belgium",146.13630745024,136.630234504394,0.934950642234594
"West Germany",112.939530376789,110.771036014744,0.980799509659634
"UK",238.916878914261,244.953368542738,1.02526606598876
"Switzerland",635.537125253477,750.077044577647,1.18022537908936
"USA",525.116223941403,944.974097326034,1.79955227860467
"Norway",362.345776338893,784.21876109371,2.1642828819957
"Greece",235.16663868548,915.537872278247,3.89314520714274
"Australia",91.7946992134865,500.951958481601,5.45730813188395
