"country","pre_rmspe","post_rmspe","ratio"
"Portugal",2990.23028345856,661.931556568126,0.221364742451381
"Japan",3860.92273205288,1356.10713368533,0.351239128000956
"Belgium",864.149243909799,386.036632094919,0.446724492112399
"UK",1111.25691107992,511.215020442122,0.460033152860506
"France",1682.24877770814,1019.7474716537,0.606181133947966
"New Zealand",2679.95066144788,1998.89926945786,0.745871667793291
"Italy",605.201110569236,509.797469943199,0.842360433647746
"Denmark",499.914895023192,459.504054584195,0.919164560125533
"Spain",1767.07971022632,1720.22062973254,0.973482191990208
"Austria",1316.8426489166,1302.39272686635,0.989026842301815
"Switzerland",3846.56690304869,4164.34787738895,1.08261418099563
"Norway",3457.55564393895,5501.27338729937,1.59108744842416
"Netherlands",951.440631174366,1552.5344970002,1.63177233148421
"USA",1698.94389325208,3789.50227757853,2.23050466388548
"West Germany",680.467641689712,1896.2822403491,2.78673389323896
"Greece",985.782418854796,3645.10231595166,3.69767430036565
"Australia",498.532993300635,1962.58806726844,3.93672654296106
