"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",14511.3,14506.1,14506.6,14500.8,14498.4,13643.1,8021.1
"Trade openness",56.8,57.2,56.9,59.4,58.5,74.6,31.9
"Inflation rate",2.6,3.3,3.3,3.1,3.9,3.5,7.4
"Industry share",34.5,34.7,35.2,35.6,34.1,35.5,34.2
"Schooling",55.5,53.4,55.1,53.4,60.7,60.9,44.1
"Investment rate",27,27.9,28.8,30.1,25.4,26.6,25.9
