"country","pre_rmspe","post_rmspe","ratio"
"UK",702.593193888102,257.615620300697,0.366663984994033
"Austria",751.349577686074,363.233978895018,0.483442048391997
"Portugal",2003.81106401197,1080.10514439534,0.539025441965965
"France",839.503835032854,468.172764519999,0.557677934254674
"Italy",419.081854537284,304.554624760213,0.726718710110887
"Japan",1527.26129400038,1119.47874934165,0.732997525531067
"Switzerland",2262.83804111313,1693.66372153547,0.748468821348935
"Denmark",330.560755420184,303.647963630205,0.91858443160995
"Spain",1118.57749395705,1094.1305565092,0.978144618875389
"Belgium",776.680097578189,867.442824370783,1.11685985913068
"New Zealand",1237.58528716918,1403.7909097553,1.1342983181113
"Netherlands",604.228122522852,759.51591899199,1.25700193466792
"USA",2398.31036292171,3862.61349701453,1.61055614683204
"Norway",725.977622548473,1737.98232229388,2.39398883424653
"Australia",435.518770205734,1362.70524900235,3.12892426739408
"Greece",629.23796756659,2350.91127471735,3.73612432162807
"West Germany",223.747322721372,863.97263165249,3.86137640059441
