"country","pre_rmspe","post_rmspe","ratio"
"UK",1350.88370351326,644.317203079638,0.476959786696631
"Portugal",2663.83884305478,1273.29032571646,0.477990749716789
"Switzerland",3464.42696631185,2098.44571435415,0.605712210059405
"Japan",2123.15519404316,1513.7201175012,0.712957828871003
"Italy",576.409237608478,422.649503712918,0.733245541772528
"Denmark",547.543369701794,412.833254134875,0.753973615568963
"France",686.494395260889,556.595979805472,0.810780078683597
"Spain",1391.57863399578,1262.60807946421,0.907320685025725
"New Zealand",2122.55523062382,2064.60903635239,0.972699794363232
"Netherlands",864.496650813127,1012.04846982094,1.17067945707948
"Austria",1103.10722297714,1379.86212984496,1.25088667819697
"Belgium",992.304674411622,1610.69266162696,1.62318358782498
"Australia",642.661652981348,1323.02196227195,2.05866019255135
"USA",1400.76632740738,3246.34489656845,2.31754921077877
"West Germany",492.751516842801,1236.95690678656,2.51030562972611
"Norway",1131.83254343118,3262.09344692543,2.88213434563059
"Greece",864.111199827016,3307.62050789853,3.82777182908944
