"country","pre_rmspe","post_rmspe","ratio"
"Belgium",1370.72873684979,326.748720846566,0.238375917905902
"UK",1334.90225174221,390.574349735501,0.292586479066729
"Portugal",3680.35899180858,1262.92562394032,0.343152835566103
"Austria",1522.27323479045,703.847270607127,0.462365923883577
"Switzerland",4812.58586308622,2376.50842600725,0.493811122256683
"France",923.472033748567,582.06201616185,0.630297393846501
"Italy",595.461148997255,558.250117441743,0.937508884302235
"Denmark",759.97925179642,724.872681610328,0.953805883380226
"Greece",1814.72452554321,1738.99000830739,0.958266659115573
"Spain",1334.67722049086,1357.20884355182,1.01688170196887
"New Zealand",2404.10441046579,2577.8520526515,1.0722712547048
"Japan",3057.04911963344,4627.17217516889,1.51360740180836
"USA",3601.57995646447,5761.88568539654,1.59982167688782
"Netherlands",970.253844999911,1561.35070449201,1.60921877562067
"Norway",3824.73879011264,8384.41596601402,2.19215387667483
"West Germany",494.952739285306,1664.28501201818,3.36251298340392
"Australia",496.570314953437,1836.37571302757,3.6981181873503
